V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,gid,Q1_1,Q1_2,Q2_1,Q2_2_1,Q2_2_2,Q2_2_3,Q2_2_4,Q2_2_5,Q2_2_6,Q2_2_7,Q2_2_8,Q2_2_9,Q2_2_10,Q2_3,Q2_4_orange,Q2_4_banana,Q2_4_strawberry,Q2_4_apple,Q2_4_5,Q2_4_loquat,Q2_4_rambutan,Q2_4_mangosteen,Q2_4_peach,Q2_5,Q2_5_TEXT,NES_11,NES_5,NES_14,CD_4R,CON_3,NES_10,CD_7R,CD_12R,NES_1,CD_5,NES_8,CON_2,CD_1R,CD_11,CD_9,CD_3,NES_7,TECH_2,CD_13R,CON_5,NES_13,NES_3,CON_1,CD_2R,TECH_5_N_,CD_8,NES_12,NES_6,CD_6,CON_4,CD_10,Q3_5_Validation,NES_15,NES_9,NES_2,TECH_3_N_,NES_4,TECH_1,TECH_4,Q3_7,Q3_7_TEXT,Q4_1,Q4_2,Q5_1,Q5_2,Q6_1,Q6_2,Q7_1_1,Q7_1_2,Q7_1_3,Q7_1_4,Q7_1_5,Q7_2,Q7_3,Q8_1,Q8_2,Q10_1,Q10_2_1,Q10_2_2,Q10_2_3,Q10_2_4,Q10_2_5,Q10_2_6,Q10_3_1,Q10_3_2,Q10_3_3,Q10_3_4,Q10_3_5,Q10_3_6,Q11_1,Q11_2,Q11_3,Q11_4,Q11_5,Q11_6,Q11_7,LocationLatitude,LocationLongitude,LocationAccuracy,CD_4,CD_7,CD_12,CD_1,CD_13,CD_2,total_CD,TECH_3,TECH_5,total_tech,total_NES,total_con,RID,Choose,alt,set,PRICE,Producer,Seeds,choice,NONE
R_5am2Gn3zDyu1DJr,Default Response Set,Anonymous,,,38.140.104.34,0,29APR16:16:40:00,29APR16:16:44:00,1,700003,2,0,1,,0,0,0,0,,,0,0,1,6,4,4,4,4,4,5,5,4,5,4,,2,2,6,2,2,6,2,2,2,2,6,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,6,6,2,2,2,2,2,2,6,2,6,2,2,4,,,,0,0,3,1,0,0,0,0,0,0,0,0,0,4,2,2,2,2,2,2,2,2,0,2,2,2,1,2,2,3,4,18,2,32.81199646,-96.81430054,-1,6,6,6,6,6,6,50,6,6,18,58,10,1,1,1,1,2.19,1,2,1,0
R_5am2Gn3zDyu1DJr,Default Response Set,Anonymous,,,38.140.104.34,0,29APR16:16:40:00,29APR16:16:44:00,1,700003,2,0,1,,0,0,0,0,,,0,0,1,6,4,4,4,4,4,5,5,4,5,4,,2,2,6,2,2,6,2,2,2,2,6,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,6,6,2,2,2,2,2,2,6,2,6,2,2,4,,,,0,0,3,1,0,0,0,0,0,0,0,0,0,4,2,2,2,2,2,2,2,2,0,2,2,2,1,2,2,3,4,18,2,32.81199646,-96.81430054,-1,6,6,6,6,6,6,50,6,6,18,58,10,1,1,2,1,1.59,2,1,0,0
R_5am2Gn3zDyu1DJr,Default Response Set,Anonymous,,,38.140.104.34,0,29APR16:16:40:00,29APR16:16:44:00,1,700003,2,0,1,,0,0,0,0,,,0,0,1,6,4,4,4,4,4,5,5,4,5,4,,2,2,6,2,2,6,2,2,2,2,6,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,6,6,2,2,2,2,2,2,6,2,6,2,2,4,,,,0,0,3,1,0,0,0,0,0,0,0,0,0,4,2,2,2,2,2,2,2,2,0,2,2,2,1,2,2,3,4,18,2,32.81199646,-96.81430054,-1,6,6,6,6,6,6,50,6,6,18,58,10,1,1,3,1,0,0,0,0,1
R_5am2Gn3zDyu1DJr,Default Response Set,Anonymous,,,38.140.104.34,0,29APR16:16:40:00,29APR16:16:44:00,1,700003,2,0,1,,0,0,0,0,,,0,0,1,6,4,4,4,4,4,5,5,4,5,4,,2,2,6,2,2,6,2,2,2,2,6,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,6,6,2,2,2,2,2,2,6,2,6,2,2,4,,,,0,0,3,1,0,0,0,0,0,0,0,0,0,4,2,2,2,2,2,2,2,2,0,2,2,2,1,2,2,3,4,18,2,32.81199646,-96.81430054,-1,6,6,6,6,6,6,50,6,6,18,58,10,1,1,1,2,1.59,1,2,1,0
R_5am2Gn3zDyu1DJr,Default Response Set,Anonymous,,,38.140.104.34,0,29APR16:16:40:00,29APR16:16:44:00,1,700003,2,0,1,,0,0,0,0,,,0,0,1,6,4,4,4,4,4,5,5,4,5,4,,2,2,6,2,2,6,2,2,2,2,6,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,6,6,2,2,2,2,2,2,6,2,6,2,2,4,,,,0,0,3,1,0,0,0,0,0,0,0,0,0,4,2,2,2,2,2,2,2,2,0,2,2,2,1,2,2,3,4,18,2,32.81199646,-96.81430054,-1,6,6,6,6,6,6,50,6,6,18,58,10,1,1,2,2,1.79,3,1,0,0
R_5am2Gn3zDyu1DJr,Default Response Set,Anonymous,,,38.140.104.34,0,29APR16:16:40:00,29APR16:16:44:00,1,700003,2,0,1,,0,0,0,0,,,0,0,1,6,4,4,4,4,4,5,5,4,5,4,,2,2,6,2,2,6,2,2,2,2,6,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,6,6,2,2,2,2,2,2,6,2,6,2,2,4,,,,0,0,3,1,0,0,0,0,0,0,0,0,0,4,2,2,2,2,2,2,2,2,0,2,2,2,1,2,2,3,4,18,2,32.81199646,-96.81430054,-1,6,6,6,6,6,6,50,6,6,18,58,10,1,1,3,2,0,0,0,0,1
R_5am2Gn3zDyu1DJr,Default Response Set,Anonymous,,,38.140.104.34,0,29APR16:16:40:00,29APR16:16:44:00,1,700003,2,0,1,,0,0,0,0,,,0,0,1,6,4,4,4,4,4,5,5,4,5,4,,2,2,6,2,2,6,2,2,2,2,6,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,6,6,2,2,2,2,2,2,6,2,6,2,2,4,,,,0,0,3,1,0,0,0,0,0,0,0,0,0,4,2,2,2,2,2,2,2,2,0,2,2,2,1,2,2,3,4,18,2,32.81199646,-96.81430054,-1,6,6,6,6,6,6,50,6,6,18,58,10,1,2,1,3,2.39,1,1,0,0
R_5am2Gn3zDyu1DJr,Default Response Set,Anonymous,,,38.140.104.34,0,29APR16:16:40:00,29APR16:16:44:00,1,700003,2,0,1,,0,0,0,0,,,0,0,1,6,4,4,4,4,4,5,5,4,5,4,,2,2,6,2,2,6,2,2,2,2,6,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,6,6,2,2,2,2,2,2,6,2,6,2,2,4,,,,0,0,3,1,0,0,0,0,0,0,0,0,0,4,2,2,2,2,2,2,2,2,0,2,2,2,1,2,2,3,4,18,2,32.81199646,-96.81430054,-1,6,6,6,6,6,6,50,6,6,18,58,10,1,2,2,3,2.19,2,2,1,0
R_5am2Gn3zDyu1DJr,Default Response Set,Anonymous,,,38.140.104.34,0,29APR16:16:40:00,29APR16:16:44:00,1,700003,2,0,1,,0,0,0,0,,,0,0,1,6,4,4,4,4,4,5,5,4,5,4,,2,2,6,2,2,6,2,2,2,2,6,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,6,6,2,2,2,2,2,2,6,2,6,2,2,4,,,,0,0,3,1,0,0,0,0,0,0,0,0,0,4,2,2,2,2,2,2,2,2,0,2,2,2,1,2,2,3,4,18,2,32.81199646,-96.81430054,-1,6,6,6,6,6,6,50,6,6,18,58,10,1,2,3,3,0,0,0,0,1
R_5am2Gn3zDyu1DJr,Default Response Set,Anonymous,,,38.140.104.34,0,29APR16:16:40:00,29APR16:16:44:00,1,700003,2,0,1,,0,0,0,0,,,0,0,1,6,4,4,4,4,4,5,5,4,5,4,,2,2,6,2,2,6,2,2,2,2,6,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,6,6,2,2,2,2,2,2,6,2,6,2,2,4,,,,0,0,3,1,0,0,0,0,0,0,0,0,0,4,2,2,2,2,2,2,2,2,0,2,2,2,1,2,2,3,4,18,2,32.81199646,-96.81430054,-1,6,6,6,6,6,6,50,6,6,18,58,10,1,1,1,4,1.99,4,2,1,0
